f_col,original_feature
f153,PSMA::GLCM::cm.info.corr.2
f154,PSMA::GLCM::cm.inv.diff
f155,PSMA::GLCM::cm.inv.diff.mom
f156,PSMA::GLCM::cm.inv.diff.mom.norm
f157,PSMA::GLCM::cm.inv.diff.norm
f158,PSMA::GLCM::cm.inv.var
f159,PSMA::GLCM::cm.joint.avg
f160,PSMA::GLCM::cm.joint.entr
f161,PSMA::GLCM::cm.joint.max
f162,PSMA::GLCM::cm.joint.var
f163,PSMA::GLCM::cm.sum.avg
f164,PSMA::GLCM::cm.sum.entr
f165,PSMA::GLCM::cm.sum.var
f166,PSMA::GLDZM::dzm.gl.var
f167,PSMA::GLDZM::dzm.glnu
f168,PSMA::GLDZM::dzm.glnu.norm
f169,PSMA::GLDZM::dzm.hgze
f170,PSMA::GLDZM::dzm.lde
f171,PSMA::GLDZM::dzm.ldhge
f172,PSMA::GLDZM::dzm.ldlge
f173,PSMA::GLDZM::dzm.lgze
f174,PSMA::GLDZM::dzm.sde
f175,PSMA::GLDZM::dzm.sdhge
f176,PSMA::GLDZM::dzm.sdlge
f177,PSMA::GLDZM::dzm.z.perc
f178,PSMA::GLDZM::dzm.zd.entr
f179,PSMA::GLDZM::dzm.zd.var
f180,PSMA::GLDZM::dzm.zdnu
f181,PSMA::GLDZM::dzm.zdnu.norm
f182,PSMA::GLRLM::rlm.gl.var
f183,PSMA::GLRLM::rlm.glnu
f184,PSMA::GLRLM::rlm.glnu.norm
f185,PSMA::GLRLM::rlm.hgre
f186,PSMA::GLRLM::rlm.lgre
f187,PSMA::GLRLM::rlm.lre
f188,PSMA::GLRLM::rlm.lrhge
f189,PSMA::GLRLM::rlm.lrlge
f190,PSMA::GLRLM::rlm.r.perc
f191,PSMA::GLRLM::rlm.rl.entr
f192,PSMA::GLRLM::rlm.rl.var
f193,PSMA::GLRLM::rlm.rlnu
f194,PSMA::GLRLM::rlm.rlnu.norm
f195,PSMA::GLRLM::rlm.sre
f196,PSMA::GLRLM::rlm.srhge
f197,PSMA::GLRLM::rlm.srlge
f198,PSMA::GLSZM::szm.gl.var
f199,PSMA::GLSZM::szm.glnu
f200,PSMA::GLSZM::szm.glnu.norm
f201,PSMA::GLSZM::szm.hgze
f202,PSMA::GLSZM::szm.lgze
f203,PSMA::GLSZM::szm.lze
f204,PSMA::GLSZM::szm.lzhge
f205,PSMA::GLSZM::szm.lzlge
f206,PSMA::GLSZM::szm.sze
f207,PSMA::GLSZM::szm.szhge
f208,PSMA::GLSZM::szm.szlge
f209,PSMA::GLSZM::szm.z.perc
f210,PSMA::GLSZM::szm.zs.entr
f211,PSMA::GLSZM::szm.zs.var
f212,PSMA::GLSZM::szm.zsnu
f213,PSMA::GLSZM::szm.zsnu.norm
f214,PSMA::Histogram::ih.cov
f215,PSMA::Histogram::ih.entropy
f216,PSMA::Histogram::ih.kurt
f217,PSMA::Histogram::ih.mad
f218,PSMA::Histogram::ih.max
f219,PSMA::Histogram::ih.max.grad
f220,PSMA::Histogram::ih.max.grad.gl
f221,PSMA::Histogram::ih.mean
f222,PSMA::Histogram::ih.medad
f223,PSMA::Histogram::ih.median
f224,PSMA::Histogram::ih.min
f225,PSMA::Histogram::ih.min.grad
f226,PSMA::Histogram::ih.min.grad.gl
f227,PSMA::Histogram::ih.mode
f228,PSMA::Histogram::ih.qcod
f229,PSMA::Histogram::ih.skew
f230,PSMA::Histogram::ih.uniformity
f231,PSMA::Histogram::ih.var
f232,PSMA::IVHistogram::ivh.I10
f233,PSMA::IVHistogram::ivh.I10minusI90
f234,PSMA::IVHistogram::ivh.I90
f235,PSMA::IVHistogram::ivh.V10
f236,PSMA::IVHistogram::ivh.V10minusV90
f237,PSMA::IVHistogram::ivh.V90
f238,PSMA::Intensity::loc.peak.global
f239,PSMA::Intensity::loc.peak.local
f240,PSMA::Intensity::stat.P10
f241,PSMA::Intensity::stat.P90
f242,PSMA::Intensity::stat.cov
f243,PSMA::Intensity::stat.energy
f244,PSMA::Intensity::stat.iqr
f245,PSMA::Intensity::stat.kurt
f246,PSMA::Intensity::stat.mad
f247,PSMA::Intensity::stat.max
f248,PSMA::Intensity::stat.mean
f249,PSMA::Intensity::stat.medad
f250,PSMA::Intensity::stat.median
f251,PSMA::Intensity::stat.min
f252,PSMA::Intensity::stat.qcod
f253,PSMA::Intensity::stat.range
f254,PSMA::Intensity::stat.rmad
f255,PSMA::Intensity::stat.rms
f256,PSMA::Intensity::stat.skew
f257,PSMA::Intensity::stat.sum
f258,PSMA::Intensity::stat.var
f259,PSMA::Morphological::morph.a.dens.aabb
f260,PSMA::Morphological::morph.approx.vol
f261,Patient::Clinical::PSA
f262,Patient::Clinical::ClinStage
f263,Patient::SUV::SUVPeak
f264,Patient::SUV::SUVmean
f265,Patient::SUV::SUVmin
f266,Patient::SUV::SUVmax
f267,Patient::SUV::SUV-TLG
f268,Patient::Demographics::Age
f269,Patient::Demographics::Height
f270,Patient::Demographics::Weight
f271,Patient::Demographics::BMI
f272,PSMA::Morphological::morph.area
f273,PSMA::Morphological::morph.asphericity
f274,PSMA::Morphological::morph.av
f275,PSMA::Morphological::morph.com
f276,PSMA::Morphological::morph.comp.1
f277,PSMA::Morphological::morph.comp.2
f278,PSMA::Morphological::morph.geary.c
f279,PSMA::Morphological::morph.moran.i
f280,PSMA::Morphological::morph.sph.dispr
f281,PSMA::Morphological::morph.sphericity
f282,PSMA::Morphological::morph.v.dens.aabb
f283,PSMA::Morphological::morph.vol
f284,PSMA::NGLDM::ngl.dc.dcnu
f285,PSMA::NGLDM::ngl.dc.dcnu.norm
f286,PSMA::NGLDM::ngl.dc.energy
f287,PSMA::NGLDM::ngl.dc.entr
